algorithm,compression_ratio,budget,runtime_seconds,memory_mb,throughput_traj_per_sec,hausdorff_distance,average_pte,frechet_distance,ped,dad,sed,sad,issd,original_points,simplified_points,trajectory_id,trajectory_size,turn_preservation,stop_preservation,original_turns,preserved_turns,preservation_ratio,original_stops,preserved_stops
dp,32.888888888888886,444,11.377128601074219,0.03786754608154297,0.08789564002164667,976.5090817226413,147.10948971396928,1635.028672344024,147.11185787015975,69.19950456046183,469.4341110173179,1.7101480801439746,8291110.996456979,888,27,0,888,,,,,,,
dp,5.074285714285714,177,10.65202784538269,0.040302276611328125,0.09387883833156403,111.7114687145887,1.888878061525556,111.7114687145887,1.8889196459179547,86.2499110643858,721.2243058843103,1.8108589460581241,35726092.12849082,888,175,0,888,,,,,,,
vw,2.0,444,4.747901439666748,0.027957916259765625,0.2106193678843909,34.27185740441235,0.36516522524185924,34.27185740441235,0.36516522524185924,85.86253620026478,714.3788554728695,1.84934386036267,36350333.81010158,888,444,0,888,,,,,,,
vw,5.016949152542373,177,5.888284921646118,0.027957916259765625,0.16982873847083504,98.1820586980644,1.5966102540586233,98.1820586980644,1.5966102540586233,89.49317530658632,716.5405274266006,1.8347650678397294,35984447.543890074,888,177,0,888,,,,,,,
squish,2.0,444,6.408994197845459,0.08349609375,0.15603072325079878,34.27185740441235,0.36516522524185924,34.27185740441235,0.36516522524185924,85.86253620026478,714.3788554728695,1.84934386036267,36350333.81010158,888,444,0,888,,,,,,,
squish,5.016949152542373,177,7.310419082641602,0.08349609375,0.13679106337069974,98.1820586980644,1.5966102540586233,98.1820586980644,1.5966102540586233,89.49317530658632,716.5405274266006,1.8347650678397294,35984447.543890074,888,177,0,888,,,,,,,
rw,2.0,444,0.7688419818878174,0.0816640853881836,1.300657382866368,97.98275724993152,1.785240915261678,97.98275724993152,1.785240915261678,92.3977064985276,701.0959758281043,1.8310379613571681,36568526.89635424,888,444,0,888,,,,,,,
rw,5.285714285714286,177,0.4306967258453369,0.025814056396484375,2.321819368459977,118.44015867426735,5.424916592861826,118.44015867426735,5.424916592861826,98.15187381825315,687.6315375294504,1.8401886045033422,36285208.61509113,888,168,0,888,,,,,,,
greedy_policy,2.0,444,0.25998640060424805,0.14373016357421875,3.8463550311702748,216.6122945451504,0.822627301109443,216.6122945451504,0.822627301109443,79.81793908420238,712.2291711354203,1.888427238209661,35583323.55199468,888,444,0,888,,,,,,,
greedy_policy,5.016949152542373,177,0.3048253059387207,0.14370059967041016,3.280567526769024,555.5679169919706,10.098571511456113,555.5679169919706,10.098571511456113,72.07288413325561,701.1792105560737,1.8991937825854444,34439698.688821875,888,177,0,888,,,,,,,
proposed,2.0,444,0.9074513912200928,0.15201568603515625,1.1019874008408022,332.18861395887217,1.8754865607411697,332.18861395887217,1.8754865607411697,8.34447956526505,3.3912847509067703,0.227848781946884,16105.666382712552,888,444,0,888,0.9669117647058824,1.0,272.0,263.0,1.0,10.0,10.0
proposed,5.016949152542373,177,0.9144847393035889,0.1440744400024414,1.0935119603652805,553.4553809707684,18.283007093823883,553.9417734638419,18.283007093823883,29.890716495852498,34.238512804887215,0.6452624001056942,555632.1114262133,888,177,0,888,0.7794117647058824,0.9,272.0,212.0,0.9,10.0,9.0
