algorithm,compression_ratio,hausdorff_distance_mean,hausdorff_distance_std,average_pte_mean,average_pte_std,frechet_distance_mean,frechet_distance_std,ped_mean,ped_std,dad_mean,dad_std,sed_mean,sed_std,sad_mean,sad_std,issd_mean,issd_std,turn_preservation_mean,turn_preservation_std,stop_preservation_mean,stop_preservation_std,runtime_seconds_mean,runtime_seconds_std,memory_mb_mean,memory_mb_std,throughput_traj_per_sec_mean,throughput_traj_per_sec_std
at,2.0,37.58629954572962,,0.13930827195277973,,37.628575797734776,,0.13930827195277973,,57.03462924373623,,1062.6210593333578,,2.3790625894781314,,42857955.4744988,,,,,,52.83890438079834,,0.20031070709228516,,0.018925449187841222,
at,5.0212765957446805,122.51367028047582,,0.7917032301561383,,122.65150060293998,,0.7917032301561383,,73.26737477645071,,946.9642623282858,,2.3486118144769943,,41755991.99451724,,,,,,58.11152482032776,,0.1860370635986328,,0.017208290491289847,
at,10.042553191489361,151.3349959149196,,2.033126208895349,,162.78668368559343,,2.033126208895349,,67.41007659738763,,925.2265446527564,,2.5212088526331176,,40925883.66005366,,,,,,50.19120764732361,,0.1805400848388672,,0.019923808309747333,
dp,2.0,284.85733781224474,,5.450598147234368,,285.1764368120373,,5.450824218821152,,56.76068555471465,,1016.107799720131,,2.5381570700436864,,37216464.01264455,,,,,,11.46319055557251,,0.1175527572631836,,0.08723574777476573,
dp,5.0212765957446805,89.87352031926599,,1.0900580412986753,,92.59155542332374,,1.0900580412986753,,57.712605885808095,,979.7669233032494,,2.27756973954621,,41176916.429279365,,,,,,6.037761211395264,,0.0726461410522461,,0.16562430427236297,
dp,10.042553191489361,193.2812898637314,,1.6112479324508677,,193.4986485046144,,1.6112479324508677,,68.54279938160786,,989.9555001215108,,2.5428553038177495,,42777883.58492544,,,,,,4.426318883895874,,0.07397747039794922,,0.225921364056771,
greedy_policy,2.0,127.49249129191575,,0.5686212584633208,,127.63602230338485,,0.5686212584633208,,92.40087706570917,,1231.0414676245566,,2.6461786184426574,,47932779.11469045,,,,,,0.2694997787475586,,0.1522693634033203,,3.7105781854340725,
greedy_policy,5.0212765957446805,503.35805081269535,,25.225697446675476,,620.3233891212878,,25.225697446675476,,96.95328370348072,,1228.96185611501,,2.6732999645836264,,47860343.09400439,,,,,,0.26860594749450684,,0.15272045135498047,,3.722925755471035,
greedy_policy,10.042553191489361,972.9654690169704,,42.60967501923327,,1000.0187064444189,,42.60967501923327,,110.6970905902973,,1229.2118222265085,,2.681646496852694,,47827090.041635714,,,,,,0.2680051326751709,,0.15222644805908203,,3.731271823111036,
original,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.64997786757522,0.0,1272.0921662035241,0.0,2.5153809154326425,0.0,49118484.070353396,0.0,,,,,0.001386562983194987,0.00022956841198248346,0.006233533223470052,5.175678758985973e-05,733.4472223719791,110.89204186480616
proposed,2.0,324.17624624180456,,3.8092579794900967,,324.54086707411926,,3.8092579794900967,,4.906931815783202,,6.84739570751137,,0.47193938379740413,,22394.7810947337,,0.9925093632958801,,1.0,,0.9020354747772217,,0.16743755340576172,,1.1086038498064312,
proposed,5.0212765957446805,433.5393953923565,,40.26246542475383,,529.3215147526498,,40.26246542475383,,26.117403694236362,,55.726888174113206,,1.058416916415364,,193612.762098246,,0.7902621722846442,,0.6,,0.9876992702484131,,0.16080760955810547,,1.0124539220814583,
proposed,10.042553191489361,433.5393953923565,,40.7500232074559,,529.3284722051441,,40.7500232074559,,31.886483891991233,,55.90979950401512,,1.0625199692423326,,194269.28561706305,,0.550561797752809,,0.8,,0.8535902500152588,,0.15917491912841797,,1.1715222848224005,
rl_dqn,2.0,1324.1633909231325,,186.80461187885143,,1554.815004965308,,186.80462671746136,,92.36948854796516,,1303.5359569195691,,3.5770824819895704,,66117507.01910722,,,,,,0.39086389541625977,,0.2014751434326172,,2.55843533190761,
rl_dqn,5.0212765957446805,1878.2599942914587,,400.9240045840612,,2237.299794030044,,400.9240045840612,,107.2720781078126,,1229.3557635364637,,2.6486924908357925,,47469004.417693876,,,,,,0.3986220359802246,,0.13033580780029297,,2.5086420461953822,
rl_dqn,10.042553191489361,1878.2599942914587,,402.5140497649185,,2237.2998898328256,,402.5140497649185,,70.67069125832779,,1229.0670514981027,,2.66722050043249,,47869196.17785461,,,,,,0.4327850341796875,,0.13012218475341797,,2.3106159433064204,
rw,2.0,31.096356248887663,,0.8571321668046826,,31.13136309258951,,0.8571321668046826,,54.00103622559575,,1001.5807858314034,,2.4491945765253336,,41675174.110316515,,,,,,0.8463475704193115,,0.08710002899169922,,1.1815476701901129,
rw,5.0212765957446805,62.61922191073588,,2.466491247249197,,62.68101763067883,,2.466514502468508,,60.44267504687874,,989.267196744723,,2.4650248593205633,,41681799.004792005,,,,,,0.558718204498291,,0.030549049377441406,,1.7898110209205806,
rw,10.042553191489361,76.92330787871173,,4.061611342633755,,76.99598386878625,,4.0632350638910655,,64.3626337372385,,983.9893791330019,,2.4477855548385765,,41808090.406926945,,,,,,0.5119855403900146,,0.0630035400390625,,1.953180160592487,
squish,2.0,37.58629954572962,,0.19288458223494584,,37.628575798859586,,0.19288458223494584,,57.27890262808894,,988.9641512132455,,2.402629451279749,,42396223.1787592,,,,,,6.776451587677002,,0.0886688232421875,,0.14756985821584015,
squish,5.0212765957446805,89.17869743377145,,1.086218687031691,,89.27900653441155,,1.0862282418497284,,65.76372518448127,,960.4173785853429,,2.4593590599658524,,41359149.417037,,,,,,8.537810325622559,,0.0886688232421875,,0.11712605010665685,
squish,10.042553191489361,127.49249129191575,,1.79148402353935,,127.63602703899748,,1.79158831745378,,71.09724099793927,,946.5077377960066,,2.4944297310872057,,41368422.69847235,,,,,,8.804062604904175,,0.0886688232421875,,0.11358392652080468,
us,2.0,57.67846226119792,,0.5210073641433458,,57.74322833001838,,0.5210073641433458,,97.11792151995117,,1273.0384783032755,,2.5122378107492764,,49124553.36794179,,,,,,0.0031714439392089844,,0.056125640869140625,,315.31378740039094,
us,5.0212765957446805,78.06669668048386,,1.7853406273832564,,78.15450255931954,,1.7853406273832564,,91.10248438068932,,1271.7123407778552,,2.5245038046337864,,49184570.12831638,,,,,,0.0028171539306640625,,0.017429351806640625,,354.9681787406906,
us,10.042553191489361,125.79282456783851,,4.2988191471746475,,125.94102281388314,,4.2988191471746475,,92.89555332240086,,1271.7776251982511,,2.5370072319777335,,49236380.03182921,,,,,,0.002656221389770508,,0.014560699462890625,,376.4746432097657,
vw,2.0,37.58629954572962,,0.19288458223494584,,37.628575798859586,,0.19288458223494584,,57.27890262808894,,988.9641512132455,,2.402629451279749,,42396223.1787592,,,,,,5.077264070510864,,0.030567169189453125,,0.19695646830900052,
vw,5.0212765957446805,89.17869743377145,,1.086218687031691,,89.27900653441155,,1.0862282418497284,,65.76372518448127,,960.4173785853429,,2.4593590599658524,,41359149.417037,,,,,,6.3848655223846436,,0.030567169189453125,,0.15662036991916414,
vw,10.042553191489361,127.49249129191575,,1.79148402353935,,127.63602703899748,,1.79158831745378,,71.09724099793927,,946.5077377960066,,2.4944297310872057,,41368422.69847235,,,,,,6.584672927856445,,0.030567169189453125,,0.15186783169889914,
